DEPTH, LEFT CUE, CENTRE CUE, RIGHT CUE, CHASING CUE, CHOICE, INVENTORY0, INVENTORY1, INVENTORY2, PRIZE, QUANTITY
0,money,money,water,-1,money,0,0,0,None,None
1,None,None,None,money,-1,0,0,0,None,None
2,None,None,None,money,-1,0,0,0,None,None
3,None,None,None,money,-1,0,0,0,None,None
4,None,None,None,money,-1,0,0,0,None,None
5,None,None,None,money,-1,0,0,0,None,None
6,None,None,None,money,-1,0,0,0,None,None
7,None,None,None,money,-1,0,0,0,None,None
8,None,None,None,money,-1,0,0,0,None,None
9,None,None,None,money,-1,0,0,0,None,None
10,None,None,None,money,-1,0,0,0,None,None
11,None,None,None,money,-1,0,0,0,None,None
12,None,None,None,money,-1,0,0,0,None,None
13,None,None,None,money,-1,0,0,0,None,None
14,None,None,None,money,-1,0,0,0,None,None
15,None,None,None,money,-1,0,0,0,None,None
16,None,None,None,money,-1,0,0,0,None,None
17,None,None,None,money,-1,0,0,1.0,money,1.0
18,water,food,food,-1,food,0,0,1.0,None,None
1,None,None,None,food,-1,0,0,1.0,None,None
0,money,money,-1,-1,money,0,0,1.0,None,None
1,None,None,None,money,-1,0,0,1.0,None,None
0,water,food,water,-1,food,2.0,0,1.0,food,2.0
1,water,food,money,-1,food,4.0,0,1.0,food,2.0
1,money,None,water,-1,money,4.0,0,1.0,None,None
1,None,None,None,money,-1,4.0,0,1.0,None,None
2,None,None,None,money,-1,4.0,0,1.0,None,None
0,-1,food,water,-1,food,4.0,0,1.0,None,None
1,None,None,None,food,-1,4.0,0,1.0,None,None
2,None,None,None,food,-1,4.0,0,1.0,None,None
3,None,None,None,food,-1,3.5,0,1.0,food,-0.5
4,food,water,water,-1,water,3.5,0,1.0,None,None
1,None,None,None,water,-1,3.5,0,1.0,None,None
2,None,None,None,water,-1,3.5,0,1.0,None,None
3,None,None,None,water,-1,3.5,0,1.0,None,None
4,None,None,None,water,-1,3.5,0,1.0,None,None
5,None,None,None,water,-1,3.5,0,1.0,None,None
6,None,None,None,water,-1,3.5,0,1.0,None,None
0,food,food,food,-1,food,5.5,0,1.0,food,2.0
1,-1,water,money,-1,water,5.5,0,1.0,None,None
1,None,None,None,water,-1,5.5,0,1.0,None,None
2,None,None,None,water,-1,5.5,0,1.0,None,None
3,None,None,None,water,-1,5.5,0,1.0,None,None
4,None,None,None,water,-1,5.5,0,1.0,None,None
5,None,None,None,water,-1,5.5,0,1.0,None,None
6,None,None,None,water,-1,5.5,0,1.0,None,None
7,None,None,None,water,-1,5.5,0,1.0,None,None
8,None,None,None,water,-1,5.5,0,1.0,None,None
9,None,None,None,water,-1,5.5,0,1.0,None,None
10,None,None,None,water,-1,5.5,0,1.0,None,None
11,None,None,None,water,-1,5.5,0,1.0,None,None
12,None,None,None,water,-1,5.5,0,1.0,None,None
13,None,None,None,water,-1,5.5,0,1.0,None,None
14,None,None,None,water,-1,5.5,0,1.0,None,None
15,None,None,None,water,-1,5.5,0,1.0,None,None
0,-1,water,water,-1,water,5.5,0.8,1.0,water,0.8
1,-1,food,money,-1,food,5.5,0.8,1.0,None,None
1,None,None,None,food,-1,5.5,0.8,1.0,None,None
0,food,money,food,-1,food,5.5,0.8,1.0,None,None
1,None,None,None,food,-1,5.5,0.8,1.0,None,None
0,money,water,None,-1,water,5.5,0.8,1.0,None,None
1,None,None,None,water,-1,5.5,0.8,1.0,None,None
2,None,None,None,water,-1,5.5,0.8,1.0,None,None
3,None,None,None,water,-1,5.5,0.8,1.0,None,None
4,None,None,None,water,-1,5.5,0.8,1.0,None,None
5,None,None,None,water,-1,5.5,0.8,1.0,None,None
6,None,None,None,water,-1,5.5,0.8,1.0,None,None
7,None,None,None,water,-1,5.5,0.8,1.0,None,None
8,None,None,None,water,-1,5.5,0.8,1.0,None,None
9,None,None,None,water,-1,5.5,0.8,1.0,None,None
10,None,None,None,water,-1,5.5,0.8,1.0,None,None
11,None,None,None,water,-1,5.5,0.8,1.0,None,None
