DEPTH, LEFT CUE, CENTRE CUE, RIGHT CUE, CHASING CUE, CHOICE, INVENTORY0, INVENTORY1, INVENTORY2, PRIZE, QUANTITY
0,water,water,water,-1,water,0,5.0,0,water,5.0
1,-1,water,food,-1,water,0,5.0,0,None,None
1,None,None,None,water,-1,0,5.0,0,None,None
2,None,None,None,water,-1,0,5.0,0,None,None
3,None,None,None,water,-1,0,5.0,0,None,None
4,None,None,None,water,-1,0,5.0,0,None,None
5,None,None,None,water,-1,0,5.0,0,None,None
6,None,None,None,water,-1,0,5.0,0,None,None
7,None,None,None,water,-1,0,5.0,0,None,None
8,None,None,None,water,-1,0,5.0,0,None,None
9,None,None,None,water,-1,0,5.0,0,None,None
10,None,None,None,water,-1,0,5.0,0,None,None
11,None,None,None,water,-1,0,5.0,0,None,None
12,None,None,None,water,-1,0,5.0,0,None,None
13,None,None,None,water,-1,0,5.0,0,None,None
14,None,None,None,water,-1,0,5.0,0,None,None
15,None,None,None,water,-1,0,5.0,0,None,None
16,None,None,None,water,-1,0,5.0,0,None,None
0,-1,money,water,-1,water,0,5.0,0,None,None
1,None,None,None,water,-1,0,5.0,0,None,None
0,water,money,None,-1,None,0,5.0,0,None,None
1,None,None,None,None,-1,0,5.0,0,None,None
0,money,water,-1,-1,money,0,5.0,0,None,None
1,None,None,None,money,-1,0,5.0,0,None,None
0,food,water,water,-1,food,-0.5,5.0,0,food,-0.5
1,money,food,None,-1,food,1.5,5.0,0,food,2.0
1,food,food,money,-1,food,1.5,5.0,0,None,None
1,None,None,None,food,-1,1.5,5.0,0,None,None
0,None,money,food,-1,None,1.5,5.0,0,None,None
1,None,None,None,None,-1,1.5,5.0,0,None,None
0,water,money,money,-1,money,1.5,5.0,0,None,None
1,None,None,None,money,-1,1.5,5.0,0,None,None
0,food,food,food,-1,food,3.5,5.0,0,food,2.0
